"zip","population","city","county"
"45011",72971,"Hamilton","Butler"
"43123",66351,"Grove City","Franklin"
"44256",64568,"Medina","Medina"
"43081",64387,"Westerville","Franklin"
"43026",63295,"Hilliard","Franklin"
"43055",62187,"Newark","Licking"
"44035",61921,"Elyria","Lorain"
"43130",61558,"Lancaster","Fairfield"
"44060",60278,"Mentor","Lake"
"43230",58956,"Columbus","Franklin"
"43068",58426,"Reynoldsburg","Franklin"
"44077",57759,"Painesville","Lake"
"45601",56915,"Chillicothe","Ross"
"43015",56671,"Delaware","Delaware"
"45040",56659,"Mason","Warren"
"43228",56440,"Columbus","Franklin"
"43229",55435,"Columbus","Franklin"
"43701",55406,"Zanesville","Muskingum"
"43302",55090,"Marion","Marion"
"45140",54686,"Loveland","Clermont"
"45840",54624,"Findlay","Hancock"
"45069",54521,"West Chester","Butler"
"45044",54339,"Middletown","Butler"
"45013",53463,"Hamilton","Butler"
"44130",51451,"Cleveland","Cuyahoga"
"44107",50900,"Lakewood","Cuyahoga"
"45424",50798,"Dayton","Montgomery"
"44646",48377,"Massillon","Stark"
"45238",48218,"Cincinnati","Hamilton"
"43232",47471,"Columbus","Franklin"
"43207",46038,"Columbus","Franklin"
"44212",45835,"Brunswick","Medina"
"45014",45695,"Fairfield","Butler"
"43224",44877,"Columbus","Franklin"
"44691",44755,"Wooster","Wayne"
"43147",44699,"Pickerington","Fairfield"
"43016",44597,"Dublin","Franklin"
"43065",44363,"Powell","Delaware"
"43235",44036,"Columbus","Franklin"
"43204",43647,"Columbus","Franklin"
"45231",42808,"Cincinnati","Hamilton"
"44102",42640,"Cleveland","Cuyahoga"
"43551",42570,"Perrysburg","Wood"
"44111",42366,"Cleveland","Cuyahoga"
"43017",41569,"Dublin","Franklin"
"45036",41330,"Lebanon","Warren"
"45324",40944,"Fairborn","Greene"
"44118",40881,"Cleveland","Cuyahoga"
"44124",40326,"Cleveland","Cuyahoga"
"44720",40218,"Canton","Stark"
"44870",40018,"Sandusky","Erie"
"43615",39618,"Toledo","Lucas"
"44109",39502,"Cleveland","Cuyahoga"
"44224",39244,"Stow","Summit"
"45385",39178,"Xenia","Greene"
"44203",38940,"Barberton","Summit"
"44240",38844,"Kent","Portage"
"43110",38123,"Canal Winchester","Fairfield"
"44134",37631,"Cleveland","Cuyahoga"
"45211",37399,"Cincinnati","Hamilton"
"45373",37211,"Troy","Miami"
"44094",37049,"Willoughby","Lake"
"45458",36487,"Dayton","Montgomery"
"44122",36212,"Beachwood","Cuyahoga"
"45342",36087,"Miamisburg","Montgomery"
"43213",35954,"Columbus","Franklin"
"43040",35695,"Marysville","Union"
"43221",35172,"Columbus","Franklin"
"44039",35064,"North Ridgeville","Lorain"
"45103",34948,"Batavia","Clermont"
"45701",34895,"Athens","Athens"
"44120",34629,"Cleveland","Cuyahoga"
"44105",34339,"Cleveland","Cuyahoga"
"44145",34049,"Westlake","Cuyahoga"
"43201",33816,"Columbus","Franklin"
"44601",33396,"Alliance","Stark"
"45150",33394,"Milford","Clermont"
"44281",33297,"Wadsworth","Medina"
"43035",33238,"Lewis Center","Delaware"
"43082",33123,"Westerville","Delaware"
"44121",33011,"Cleveland","Cuyahoga"
"44095",32748,"Eastlake","Lake"
"45503",32669,"Springfield","Clark"
"44512",32643,"Youngstown","Mahoning"
"43613",32385,"Toledo","Lucas"
"44070",32371,"North Olmsted","Cuyahoga"
"44266",32210,"Ravenna","Portage"
"43560",32149,"Sylvania","Lucas"
"43219",32130,"Columbus","Franklin"
"44805",32029,"Ashland","Ashland"
"43402",31939,"Bowling Green","Wood"
"43062",31479,"Pataskala","Licking"
"44004",31469,"Ashtabula","Ashtabula"
"45005",31294,"Franklin","Warren"
"44133",31191,"North Royalton","Cuyahoga"
"45215",31022,"Cincinnati","Hamilton"
"43004",30901,"Blacklick","Franklin"
"44312",30769,"Akron","Summit"
"43050",30680,"Mount Vernon","Knox"
"43537",30075,"Maumee","Lucas"
"43420",29798,"Fremont","Sandusky"
"44221",29721,"Cuyahoga Falls","Summit"
"44146",29686,"Bedford","Cuyahoga"
"43614",29394,"Toledo","Lucas"
"44125",29367,"Cleveland","Cuyahoga"
"45365",29325,"Sidney","Shelby"
"43220",29294,"Columbus","Franklin"
"45239",29208,"Cincinnati","Hamilton"
"43209",28867,"Columbus","Franklin"
"44052",28841,"Lorain","Lorain"
"44129",28697,"Cleveland","Cuyahoga"
"43512",28624,"Defiance","Defiance"
"44883",28566,"Tiffin","Seneca"
"43119",28432,"Galloway","Franklin"
"44128",28405,"Cleveland","Cuyahoga"
"44685",28404,"Uniontown","Summit"
"43612",28384,"Toledo","Lucas"
"45240",28312,"Cincinnati","Hamilton"
"45042",28216,"Middletown","Butler"
"43054",28174,"New Albany","Franklin"
"45056",28153,"Oxford","Butler"
"45244",28109,"Cincinnati","Hamilton"
"45039",28089,"Maineville","Warren"
"45417",28059,"Dayton","Montgomery"
"45230",27628,"Cincinnati","Hamilton"
"44515",27620,"Youngstown","Mahoning"
"45459",27616,"Dayton","Montgomery"
