zip code,population
45011,"72,971"
43123,"66,351"
44256,"64,568"
43081,"64,387"
43026,"63,295"
43055,"62,187"
44035,"61,921"
43130,"61,558"
44060,"60,278"
43230,"58,956"
43068,"58,426"
44077,"57,759"
45601,"56,915"
43015,"56,671"
45040,"56,659"
43228,"56,440"
43229,"55,435"
43701,"55,406"
43302,"55,090"
45140,"54,686"
45840,"54,624"
45069,"54,521"
45044,"54,339"
45013,"53,463"
44130,"51,451"
44107,"50,900"
45424,"50,798"
44646,"48,377"
45238,"48,218"
43232,"47,471"
43207,"46,038"
44212,"45,835"
45014,"45,695"
43224,"44,877"
44691,"44,755"
43147,"44,699"
43016,"44,597"
43065,"44,363"
43235,"44,036"
43204,"43,647"
45231,"42,808"
44102,"42,640"
43551,"42,570"
44111,"42,366"
43017,"41,569"
45036,"41,330"
45324,"40,944"
44118,"40,881"
44124,"40,326"
44720,"40,218"
44870,"40,018"
43615,"39,618"
44109,"39,502"
44224,"39,244"
45385,"39,178"
44203,"38,940"
44240,"38,844"
43110,"38,123"
44134,"37,631"
45211,"37,399"
45373,"37,211"
44094,"37,049"
45458,"36,487"
44122,"36,212"
45342,"36,087"
43213,"35,954"
43040,"35,695"
43221,"35,172"
44039,"35,064"
45103,"34,948"
45701,"34,895"
44120,"34,629"
44105,"34,339"
44145,"34,049"
43201,"33,816"
44601,"33,396"
45150,"33,394"
44281,"33,297"
43035,"33,238"
43082,"33,123"
44121,"33,011"
44095,"32,748"
45503,"32,669"
44512,"32,643"
43613,"32,385"
44070,"32,371"
44266,"32,210"
43560,"32,149"
43219,"32,130"
44805,"32,029"
43402,"31,939"
43062,"31,479"
44004,"31,469"
45005,"31,294"
44133,"31,191"
45215,"31,022"
43004,"30,901"
44312,"30,769"
43050,"30,680"
43537,"30,075"
43420,"29,798"
44221,"29,721"
44146,"29,686"
43614,"29,394"
44125,"29,367"
45365,"29,325"
43220,"29,294"
45239,"29,208"
43209,"28,867"
44052,"28,841"
44129,"28,697"
43512,"28,624"
44883,"28,566"
43119,"28,432"
44128,"28,405"
44685,"28,404"
43612,"28,384"
45240,"28,312"
45042,"28,216"
43054,"28,174"
45056,"28,153"
45244,"28,109"
45039,"28,089"
45417,"28,059"
45230,"27,628"
44515,"27,620"
45459,"27,616"
45662,"27,538"
43223,"27,458"
44313,"27,342"
44135,"26,836"
45750,"26,695"
45431,"26,630"
45429,"26,618"
43085,"26,575"
43214,"26,453"
44236,"26,216"
45066,"26,175"
43605,"25,359"
44136,"25,179"
43606,"25,111"
44460,"25,080"
44903,"25,012"
44139,"25,009"
44012,"25,005"
44310,"24,958"
44483,"24,889"
44106,"24,824"
43227,"24,779"
45356,"24,779"
44663,"24,630"
43113,"24,585"
44708,"24,584"
44011,"24,542"
44143,"24,411"
45236,"24,349"
45420,"24,249"
44024,"24,211"
45248,"24,006"
43140,"23,966"
45102,"23,767"
45805,"23,726"
44137,"23,636"
44857,"23,446"
45133,"23,369"
45241,"23,270"
45247,"23,246"
44138,"23,090"
43231,"23,066"
44406,"22,579"
43211,"22,553"
45440,"22,507"
43206,"22,488"
45331,"22,354"
44144,"22,281"
44087,"22,195"
44514,"22,193"
45371,"22,175"
43212,"22,160"
44319,"22,146"
45177,"22,011"
44484,"21,999"
45242,"21,992"
43160,"21,933"
44202,"21,857"
45801,"21,788"
45255,"21,752"
44108,"21,711"
43920,"21,686"
45237,"21,669"
44306,"21,606"
44116,"21,549"
45224,"21,504"
45322,"21,494"
45212,"21,424"
44001,"21,143"
45030,"21,129"
45638,"21,081"
44149,"21,046"
44305,"21,024"
45251,"20,940"
45245,"20,880"
43607,"20,732"
44131,"20,650"
44053,"20,588"
43078,"20,509"
45505,"20,464"
45414,"20,392"
43616,"20,366"
43609,"20,327"
44446,"20,241"
43202,"20,226"
43725,"20,072"
44654,"20,044"
44067,"20,037"
43311,"19,944"
45406,"19,830"
44147,"19,820"
43623,"19,749"
44641,"19,737"
44055,"19,513"
45219,"19,436"
44057,"19,384"
44511,"19,380"
45405,"19,363"
45822,"19,290"
44113,"19,165"
44320,"19,104"
44333,"19,031"
43138,"19,017"
44705,"18,985"
45449,"18,946"
44112,"18,945"
45227,"18,874"
44023,"18,842"
44104,"18,830"
44709,"18,778"
44017,"18,724"
44622,"18,705"
43611,"18,635"
44142,"18,592"
44278,"18,577"
43812,"18,495"
44110,"18,449"
44123,"18,445"
44314,"18,391"
45208,"18,317"
45205,"18,314"
44223,"18,240"
44647,"18,209"
44830,"17,974"
43056,"17,893"
45895,"17,816"
44241,"17,549"
43952,"17,428"
44820,"17,239"
45502,"17,179"
44126,"17,133"
44092,"16,934"
43064,"16,900"
44410,"16,861"
44505,"16,835"
44905,"16,693"
44022,"16,675"
43528,"16,660"
45344,"16,606"
44833,"16,537"
43950,"16,532"
44906,"16,461"
45410,"16,442"
45504,"16,397"
44706,"16,315"
45243,"16,278"
45419,"16,262"
45409,"16,224"
44030,"16,159"
44321,"16,102"
44140,"16,051"
44062,"15,858"
45640,"15,732"
44485,"15,625"
44907,"15,615"
44089,"15,597"
45320,"15,508"
45891,"15,330"
43215,"15,317"
45202,"15,293"
44420,"15,217"
43074,"15,057"
44044,"15,053"
45233,"15,024"
45804,"14,962"
45067,"14,879"
44103,"14,797"
45432,"14,786"
43608,"14,702"
44132,"14,678"
43506,"14,620"
45377,"14,614"
43023,"14,574"
43545,"14,573"
44904,"14,389"
45220,"14,375"
45249,"14,131"
43452,"14,011"
44041,"14,002"
45229,"13,997"
